Closing (Year),Place,History Lost (Years),Reason,Location
2004,A. Zito & Sons Bakery,80,Rising cost of business,
2004,The Bottom Line,30,NYU raised the rent,
2004,The original Kim's Video,17,?,
2004,Jon Vie Bakery,42,“a victim of soaring rents in a neighborhood populated as much by bankers as by bohemians.” --NY Times,
2004,Domino Sugar Factory,150,"Declining business, to be converted to luxury condos",
